"","ntax","nsites","pars_inf_count","pars_inf_fraction","bionj","upgma","jc","gtrig","gtrig100","gtrig250"
"43",10,2181,883,40.49,"((((Sp4:0.006281753071,Sp5:0.01089011598):0.1197444946,(((Sp0:0.01471774466,Sp1:0.01578582637):0.020871941,Sp2:0.03257773817):0.09842880815,Sp3:0.1532371342):0.04217477143):0.04728135094,Sp6:0.1574642658):0.05096587539,(Sp7:0.08941267431,Sp8:0.1370110363):0.01902930439,Sp9:0.1183253527);","(Sp8:36.88888889,((Sp4:20,(Sp7:20,Sp5:20):0):11.11111111,((Sp3:20,(Sp9:16,(Sp2:12,Sp1:12):4):4):8,(Sp0:20,Sp6:20):8):3.111111111):5.777777778);","(Sp4:0.00479832,Sp5:0.0121434,((Sp3:0.19560663,(Sp2:0.0293419,(Sp1:0.01486464,Sp0:0.01542099)1.000000:0.02604392)1.000000:0.11743161)1.000000:0.08356655,(Sp6:0.1899564,(Sp9:0.12786372,(Sp8:0.17643129,Sp7:0.08067295)1.000000:0.04822259)1.000000:0.09164991)1.000000:0.09742875)1.000000:0.12630978);","(Sp5:0.01194321,Sp4:0.00532132,((Sp3:0.22150405,(Sp2:0.03088551,(Sp0:0.01576649,Sp1:0.01506727)1.000000:0.02662905)1.000000:0.12721453)1.000000:0.08912768,(Sp6:0.20320497,(Sp9:0.14066353,(Sp8:0.19777583,Sp7:0.08780308)0.999998:0.04374917)1.000000:0.10719072)1.000000:0.11960329)1.000000:0.13961329);","(Sp5:0.0182161,Sp4:0.01367469,((Sp3:0.12939615,(Sp9:0.13387871,(Sp6:0.14328714,(Sp8:0.11226043,Sp7:0.04295181)0.818864:0.04933209)0.497867:0.0332961)0.999459:0.10776559)0.401298:0.02485208,(Sp1:0,(Sp2:0.02125661,Sp0:0.02148488)0.672568:0.01000531)0.687420:0.04645989)1.000000:0.18022748);","(Sp5:1e-08,Sp4:0.00745367,((Sp6:0.23233311,(Sp9:0.16283019,(Sp8:0.22064393,Sp7:0.05469321)0.836276:0.05989206)0.896590:0.10858859)0.999998:0.21076917,(Sp3:0.27564535,(Sp2:0.04076228,(Sp0:0.02450928,Sp1:0.00806758)0.462681:0.0103835)0.999983:0.17820758)0.542486:0.05000774)0.985259:0.09415459);"
"44",7,507,81,15.98,"(((Sp4:0.009954508394,Sp5:0.00198618928):0.07407985628,Sp6:0.08509503305):0.08469915949,Sp3:0.02261191793,((Sp0:0.001850152388,Sp1:0.00410229899):0.009862771258,Sp2:0.0102431383):0.005832934752);","(Sp3:46.66666667,(Sp2:36,((Sp6:12,Sp4:12):13.33333333,(Sp1:20,(Sp0:12,Sp5:12):8):5.333333333):10.66666667):10.66666667);","(Sp5:1e-08,Sp4:0.01213989,(Sp6:0.10212106,(Sp3:0.02227023,(Sp2:0.00784523,(Sp1:0.00403471,Sp0:0.00196707)0.999997:0.01262794)0.546890:0.00787467)1.000000:0.12020813)1.000000:0.09308682);","(Sp5:8e-08,Sp4:0.01239555,(Sp6:0.12282054,(Sp2:0.00559863,(Sp3:0.02982803,(Sp1:0.00399839,Sp0:0.00193011)0.999992:0.01239097)0.442293:0.00243466)1.000000:0.13486916)0.999999:0.09629914);","(Sp4:0.02125175,Sp5:1e-08,(Sp6:0.07513917,(Sp3:1e-08,(Sp2:0,(Sp1:0.02041937,Sp0:0)0.942113:0.01014488)0.504068:0.0205577)0.999994:0.14490615)0.999777:0.11280415);","(Sp4:0.01252582,Sp5:1e-08,(Sp6:0.08262856,(Sp3:0.00234402,(Sp2:0.01247613,(Sp0:0.0041156,Sp1:1e-08)0.877531:0.00420778)0.592844:0.00602615)1.000000:0.07866997)0.999825:0.04956021);"
"45",10,2115,669,31.63,"((((Sp4:0.00518010417,Sp5:0.004818035755):0.1133247763,(((Sp0:0.02467321977,Sp1:0.02839576825):0.01439506002,Sp2:0.04702975601):0.05852689967,Sp3:0.1039953679):0.01894249022):0.0146773532,Sp6:0.1347315311):0.02997597866,Sp9:0.09233410843,(Sp7:0.08522091806,Sp8:0.09619435668):0.006745485589);","((Sp1:28,((Sp3:12,Sp2:12):10.4,(Sp0:20,(Sp6:20,(Sp4:12,(Sp9:12,Sp5:12):0):8):0):2.4):5.6):40,(Sp8:68,Sp7:68):0);","(Sp5:0.00376536,Sp4:0.00582065,((Sp3:0.12954101,(Sp2:0.04844689,(Sp1:0.02822917,Sp0:0.02468983)1.000000:0.01615134)1.000000:0.07563089)1.000000:0.04008849,(Sp6:0.18762165,(Sp9:0.10863823,(Sp7:0.09396083,Sp8:0.11736024)0.585882:0.018721)1.000000:0.06328044)0.999991:0.03589369)1.000000:0.14086834);","(Sp5:0.0045193,Sp4:0.00540231,((Sp3:0.16313342,(Sp2:0.05308164,(Sp1:0.03063462,Sp0:0.02509281)0.999998:0.01756087)1.000000:0.08575257)1.000000:0.05154447,(Sp6:0.2355319,(Sp9:0.12268251,(Sp7:0.11078965,Sp8:0.13609789)0.954430:0.02736849)1.000000:0.09009641)0.999947:0.04320418)1.000000:0.16844506);","(Sp1:0.02285385,(Sp3:0.26864371,Sp2:0.04731391)0.000000:1e-08,(Sp0:0.00793112,(Sp5:0.07462148,((Sp6:0.20630824,Sp9:0.00833349)0.846759:0.07051951,(Sp7:0.10247191,Sp8:0.07579273)0.382517:0.01294622)0.643060:0.03495402)0.999938:0.12092174)0.369494:0.01515531);","(Sp5:0.00456368,Sp4:0.00394467,(Sp8:0.0705584,((Sp7:0.10082045,(Sp3:0.12914345,(Sp2:0.01537381,(Sp1:0.03402519,Sp0:0.03633973)0.999660:0.04849956)0.997267:0.10786919)0.999975:0.16507189)0.791246:0.04423606,(Sp6:0.27274847,Sp9:0.04662589)0.973013:0.05443896)0.781419:0.05257255)1.000000:0.22922624);"
"46",6,1137,278,24.45,"(((Sp0:0.02701336704,Sp1:0.03151411563):0.1386743486,Sp5:0.3057468235):0.1021936759,Sp4:0.0503173545,(Sp2:0.003740029642,Sp3:0.003330292413):0.04076271504);","((Sp3:20,(Sp5:16,(Sp2:12,Sp4:12):4):4):2,(Sp1:20,Sp0:20):2);","(Sp0:0.02451913,Sp1:0.03680565,(Sp5:0.52036794,(Sp4:0.05449519,(Sp2:0.00361525,Sp3:0.00348624)0.999999:0.04316367)0.999997:0.13458188)1.000000:0.20953325);","(Sp1:0.03753137,Sp0:0.02369699,(Sp5:0.5993646,(Sp4:0.05753215,(Sp3:0.00317958,Sp2:0.0039525)0.999920:0.04237418)0.999793:0.1406362)1.000000:0.22939423);","(Sp3:0.09405617,Sp4:0.01544975,(Sp5:0.73021245,(Sp1:0.04335899,Sp0:0.04488)0.336437:0.01410001)0.900885:0.24136088);","(Sp1:0.00577348,Sp0:0.04272682,(Sp4:0.05345147,(Sp3:1e-08,(Sp2:1e-08,Sp5:0.78086052)0.415281:0.00811643)0.850996:0.05269232)1.000000:0.33961639);"
"47",12,1044,290,27.78,"((((Sp6:0.003838757053,Sp7:0.01167739928):0.06904250383,(Sp8:0.08984331787,((Sp9:0.06332806498,Sp10:0.05946245417):0.01200504974,Sp11:0.06704054773):0.02571294829):0.03706321493):0.02860033512,Sp5:0.07550317049):0.06345447199,((Sp2:0.0008868295699,Sp3:0.006819238886):0.00885486789,Sp4:0.01289220713):0.006254463922,(Sp0:0.013742093,Sp1:0.01069408096):0.006315789651);","((Sp4:36,Sp10:36):9.2,((Sp9:28,(Sp1:20,Sp0:20):8):11.42857143,(Sp6:30.66666667,(Sp8:28,(Sp11:22,(Sp7:14.66666667,(Sp5:12,(Sp3:12,Sp2:12):0):2.666666667):7.333333333):6):2.666666667):8.761904762):5.771428571);","(Sp7:0.01373506,Sp6:0.00144702,((Sp8:0.11171425,(Sp11:0.06607647,(Sp9:0.06809947,Sp10:0.06643114)0.999925:0.02953382)0.999954:0.04215368)1.000000:0.08385726,(Sp5:0.08180326,((Sp1:0.00880917,Sp0:0.01568272)0.917027:0.00577201,(Sp4:0.01524338,(Sp2:1e-08,Sp3:0.00750586)0.999997:0.00675722)0.998456:0.00954058)1.000000:0.08600877)1.000000:0.06675283)1.000000:0.06024686);","(Sp7:0.01540195,Sp6:1e-08,((Sp8:0.13384168,(Sp11:0.06912754,(Sp9:0.0741319,Sp10:0.07415221)0.999913:0.03566085)0.999811:0.04947048)1.000000:0.10051693,(Sp5:0.08798431,((Sp1:0.00915761,Sp0:0.01619002)0.747406:0.00464785,(Sp4:0.01583482,(Sp2:1e-08,Sp3:0.00764278)0.999968:0.00658396)0.999954:0.01127209)1.000000:0.09876112)1.000000:0.0813591)1.000000:0.07029281);","(Sp9:0.08283349,Sp10:0.03638237,(Sp11:0.07117783,(Sp8:0.15221997,(Sp7:0.11179348,(Sp5:0.07502398,(Sp4:1e-08,((Sp1:0.02216457,Sp0:0.01041515)0.919483:0.0221223,(Sp3:0.02052882,Sp2:1e-08)0.000000:1e-08)0.857087:0.01007885)0.571145:0.03489999)0.407310:0.02441348)0.970357:0.10216138)0.000000:1e-08)0.917806:0.06070509);","(Sp10:0.04694505,Sp9:0.08802186,(Sp11:0.05254832,(Sp8:0.0929592,(Sp7:1e-08,(Sp6:1e-08,(Sp5:0.11655473,(Sp0:1e-08,(Sp1:0.00782573,(Sp4:0.01213262,(Sp2:0,Sp3:0.00780393)0.894295:0.00773049)0.999995:0.01681411)0.667139:0.00387677)0.919475:0.0480049)1.000000:0.12026541)0.978997:0.02478397)0.999994:0.12204308)0.999988:0.10898241)0.482112:0.02103465);"
"48",12,471,87,18.47,"((((Sp8:0,Sp9:0):0.009095683694,Sp10:0.01910468005):0.05005163699,(((((Sp4:0.01379832346,Sp3:0.003421236761):0.001990934834,Sp5:0.002381847706):0.01340465806,Sp6:0.01414701343):0.04450887442,Sp7:0.07359241694):0.01107484102,Sp1:0.06629785895):0.01022414304):0.01231906284,Sp0:0.04215904605,(Sp11:0.05051949248,Sp2:0.04723220691):0.00920963008);","(((Sp4:36,(Sp5:36,Sp3:36):0):6.857142857,((Sp0:36,(Sp1:20,Sp7:20):16):5.333333333,(Sp6:36,(Sp8:16,(Sp9:12,Sp10:12):4):20):5.333333333):1.523809524):25.14285714,(Sp2:68,Sp11:68):0);","(Sp10:0.02384323,Sp9:0.00506559,((Sp7:0.09890239,(Sp6:0.00592097,(Sp5:0.006356,(Sp3:1e-08,Sp4:0.01732887)0.000000:1e-08)0.988777:0.02050508)1.000000:0.06270232)0.895736:0.02402363,(Sp1:0.08636866,(Sp0:0.04578422,(Sp2:0.04911573,Sp11:0.06131834)0.759635:0.01535153)0.995355:0.02362873)0.521980:0.01008652)1.000000:0.07418496);","(Sp9:0.00752738,Sp10:0.0214165,((Sp7:0.10803785,(Sp6:0.00528493,(Sp5:0.00652748,(Sp4:0.01754859,Sp3:1e-08)0.000000:1e-08)0.988105:0.0220846)1.000000:0.07648137)0.878101:0.03084515,(Sp1:0.09974783,(Sp0:0.05169999,(Sp11:0.06419585,Sp2:0.05023916)0.754216:0.01532974)0.993523:0.02568309)0.533130:0.00938455)1.000000:0.07898054);","(Sp10:0,Sp9:0.02226033,(Sp0:0.02071498,((Sp2:0.01741372,Sp11:0.03644714)0.616990:0.03361905,(Sp7:0.14243311,(Sp1:0.01875806,(Sp4:0,(Sp6:0.03409003,(Sp5:0.01087648,Sp3:0)0.000000:0)0.867942:0.02205538)0.786195:0.08907009)0.635747:0.04174819)0.379214:0.03509304)0.422167:0.02372773)0.996994:0.11522571);","(Sp10:0.01841912,Sp9:0.00192445,((Sp0:0.06277861,(Sp2:0.03980847,Sp11:0.05182444)0.989684:0.03437047)0.928019:0.02360982,((Sp7:0.07791294,Sp1:0.04478785)0.862918:0.01387696,(Sp5:0.00287274,(Sp6:0.00870214,(Sp3:0,Sp4:0.0131061)0.000000:1e-08)0.782701:0.00613581)0.999999:0.03943317)0.450315:0.00926268)1.000000:0.08420477);"
"49",11,633,168,26.54,"((((((Sp9:0.0009667281993,Sp10:0.006974267308):0.07966315001,((Sp0:0.09669309109,Sp1:0.108887516):0.03207777813,Sp2:0.1245122254):0.0335194245):0.01522427239,Sp8:0.06749419868):0.05385763198,Sp7:0.02869918942):0.02230012417,Sp6:0.006623028778):0.002176268259,Sp5:0.01679412811,(Sp3:0,Sp4:0):0.0008434059564);","(Sp7:55.2,(Sp6:53.77777778,(Sp1:45,(Sp4:36,((Sp10:16,(Sp8:12,Sp0:12):4):10,(Sp9:22.66666667,(Sp3:20,(Sp5:12,Sp2:12):8):2.666666667):3.333333333):10):9):8.777777778):1.422222222);","(Sp9:0.00085283,Sp10:0.00692113,((Sp2:0.20259587,(Sp0:0.1123824,Sp1:0.14970158)0.999804:0.0731014)0.998018:0.06536874,(Sp8:0.07172537,(Sp7:0.0291179,(Sp6:0.00741162,(Sp4:1e-08,Sp5:0.01745455)0.659891:0.00205194)0.999950:0.0247773)1.000000:0.07526394)0.996246:0.04246252)1.000000:0.08098913);","(Sp9:1e-08,Sp10:0.00791038,((Sp2:0.24477911,(Sp1:0.1861471,Sp0:0.11406569)0.999638:0.08951263)0.999427:0.09303686,(Sp8:0.07876672,(Sp7:0.02885994,(Sp6:0.00810577,(Sp4:1e-08,Sp5:0.01725507)0.370902:0.00113475)0.999922:0.02703981)1.000000:0.08453182)0.853155:0.03610873)1.000000:0.10788508);","(Sp1:0.51843317,Sp0:0.43092237,(Sp2:0.57497603,(Sp10:1e-08,(Sp9:1e-08,(Sp8:0.12409995,(Sp7:0.08579293,(Sp6:0.01034421,(Sp5:0.02067656,Sp4:1e-08)0.000000:1e-08)0.000000:1e-08)0.834276:0.18879694)0.999630:0.3327712)0.509058:0.02276092)0.459174:0.12929327)0.691710:0.29557722);","(Sp9:1e-08,Sp10:0.00821855,((Sp2:0.17053145,(Sp0:0.12027396,Sp1:0.34316878)0.925094:0.12390025)0.878279:0.10851621,(Sp8:0.03240317,(Sp7:0.04727479,(Sp4:0,(Sp5:0.02432513,Sp6:0.00994009)0.368310:0.00242298)0.611705:0.02015609)0.990844:0.06270959)0.996233:0.10906307)0.994174:0.11352371);"
"50",11,1509,571,37.84,"((((Sp5:0.004037012346,Sp6:0.003958069719):0.1385224164,(Sp7:0.1505296081,((Sp8:0.09963995218,Sp9:0.1163296402):0.04521393031,Sp10:0.1132604852):0.03583197296):0.005944527686):0.02935020626,Sp4:0.1106082648):0.09000344388,(Sp2:0.01962759905,Sp3:0.03122791462):0.01218664832,(Sp0:0.03061376326,Sp1:0.02317839675):0.009604753926);","(Sp1:68,((Sp9:40,(Sp2:12,Sp4:12):28):11.61904762,((Sp5:33.33333333,(Sp0:20,(Sp3:12,Sp6:12):8):13.33333333):13.33333333,(Sp7:44,(Sp10:12,Sp8:12):32):2.666666667):4.952380952):16.38095238);","(Sp5:0.00256705,Sp6:0.00510405,((Sp7:0.2091896,(Sp10:0.11511628,(Sp8:0.10558789,Sp9:0.15176275)1.000000:0.10279404)1.000000:0.08784783)0.981660:0.03350638,(Sp4:0.12603607,((Sp2:0.01658743,Sp3:0.03405141)0.999912:0.01507113,(Sp0:0.0304872,Sp1:0.02267596)0.970618:0.00971655)1.000000:0.13273931)1.000000:0.06244478)1.000000:0.17634138);","(Sp6:0.00586795,Sp5:0.00202927,((Sp7:0.26158625,(Sp10:0.1391309,(Sp9:0.17855541,Sp8:0.12727974)1.000000:0.13126446)1.000000:0.11035287)0.968142:0.03914315,(Sp4:0.14022555,((Sp3:0.03576707,Sp2:0.01733485)0.999987:0.01868547,(Sp1:0.02378188,Sp0:0.03212163)0.912237:0.0078884)1.000000:0.16263323)1.000000:0.08546607)1.000000:0.20267224);","(Sp9:0.10128285,Sp8:0.10424407,(Sp10:0.15004568,(Sp6:0.12276626,(Sp4:0.14955961,(Sp7:0.19841121,(Sp3:0.04419655,(Sp2:0.02572144,(Sp1:0.00767414,Sp0:0.02425511)0.889739:0.04686542)0.416544:0.01791134)0.878158:0.09805787)0.000000:1e-08)0.728354:0.07378254)0.996130:0.18876675)0.659248:0.09868002);","(Sp6:0.00811866,Sp5:0.00027914,((Sp4:0.1235777,(Sp1:0.01713338,(Sp0:0.0269936,(Sp2:0.02767393,Sp3:0.01711866)0.508636:0.00390585)0.486388:0.00891662)0.999998:0.15254065)0.999490:0.11010186,(Sp7:0.18031005,(Sp10:0.21669114,(Sp9:0.19873605,Sp8:0.12141294)0.532382:0.03416516)0.869549:0.05600038)0.909362:0.05163486)0.999995:0.1105919);"
"51",11,1275,195,15.29,"((((Sp5:0.0001042077783,Sp6:0.002252432052):0.04918334633,(((Sp0:0.01420673542,Sp1:0.01137330011):0.006474953145,(Sp2:0.01292846352,Sp3:0.02080823481):0.009646456689):0.02361338213,Sp4:0.04587813839):0.01392076164):0.009916086681,Sp10:0.04001821578):0.013092882,(Sp7:0.03323187679,Sp9:0.04496847838):0.002505804412,Sp8:0.04456232954);","(Sp8:68,((Sp6:20,Sp5:20):29,(Sp0:46.28571429,(Sp1:42.66666667,((Sp4:28,(Sp10:24,(Sp9:12,Sp7:12):12):4):10,(Sp3:36,Sp2:36):2):4.666666667):3.619047619):2.714285714):19);","(Sp5:1e-08,Sp6:0.0023583,((Sp4:0.05156593,((Sp2:0.01155171,Sp3:0.02329187)0.999997:0.00964279,(Sp1:0.01110338,Sp0:0.01501701)0.999997:0.00873048)1.000000:0.03142922)1.000000:0.02462667,(Sp10:0.04158626,(Sp8:0.05204049,(Sp9:0.05287411,Sp7:0.03386979)0.458419:0.00370055)1.000000:0.01982828)0.999981:0.01588758)1.000000:0.05855787);","(Sp5:1e-08,Sp6:0.00237447,((Sp4:0.05795876,((Sp2:0.01182568,Sp3:0.0241943)0.999825:0.00964618,(Sp1:0.01154617,Sp0:0.01522927)0.999998:0.00930643)1.000000:0.03147633)1.000000:0.0246699,(Sp10:0.0434817,(Sp7:0.03551916,(Sp8:0.05158913,Sp9:0.05354545)0.768899:0.00464496)1.000000:0.02190956)1.000000:0.0187118)1.000000:0.06179166);","(Sp1:1e-08,Sp0:0.03329583,((Sp2:0.02105172,Sp3:0)0.000000:0,(Sp4:0.0316122,((Sp6:0.03685827,Sp8:0.03153408)0.409567:0.01218104,(Sp10:1e-08,(Sp7:0.02582954,Sp9:0.05475832)0.342471:0.00615504)0.347709:0.01003907)0.991169:0.05092872)0.820472:0.05173726)0.985206:0.02197964);","(Sp6:0.00853723,Sp5:1e-08,((Sp9:0.04729279,(Sp8:0.05235237,Sp7:0.03677571)0.435292:0.00833448)0.859713:0.0213118,(Sp10:0.01684437,(Sp4:0.06563196,(Sp1:0.00283701,(Sp0:0.0089111,(Sp3:0.01825059,Sp2:0.00802843)0.999230:0.01759435)0.564030:0.00599036)0.992713:0.03896137)0.993107:0.04242905)0.347621:0.00323489)1.000000:0.0542304);"
"52",22,624,351,56.25,"((((((((((Sp19:0.06618432701,Sp20:0.05623577908):0.003669828176,Sp21:0.07938320935):0.04048098996,Sp18:0.1493061632):0.007264837623,((((Sp12:0.002296809806,Sp13:0.004141216166):0.01997609995,Sp14:0.02760867216):0.014779035,(Sp15:0.02489078231,Sp16:0.02317306586):0.02952104434):0.03969615698,Sp17:0.09089294076):0.02393116988):0.313808322,((Sp0:0.109460488,Sp1:0.1371414959):0.007016256452,Sp2:0.1405834705):0.04038919508):0.03136571497,Sp11:0.1462011039):0.06458044052,(Sp9:0.007575208321,Sp10:0.01026705652):0.05155809969):0.02342062257,Sp8:0.05654707551):0.03837157413,Sp7:0.01732618734):0.005860989913,Sp6:0.01602948643,(Sp5:0.0006977529265,(Sp3:0.002416294767,Sp4:0.002408821834):0.006572183687):0.0009946599603);","(Sp7:60.38095238,((Sp4:20,Sp3:20):24,(Sp21:42.66666667,(((Sp12:12,Sp18:12):24,(Sp14:36,Sp13:36):0):4,((Sp15:32,(Sp19:25.33333333,(Sp20:20,(Sp1:12,Sp0:12):8):5.333333333):6.666666667):5.422222222,((Sp6:20,Sp17:20):14.28571429,((Sp9:16,(Sp8:12,Sp10:12):4):15.33333333,(Sp16:22.66666667,(Sp2:12,(Sp5:12,Sp11:12):0):10.66666667):8.666666667):2.952380952):3.136507937):2.577777778):2.666666667):1.333333333):16.38095238);","(Sp14:0.04584239,((Sp16:0.03102714,Sp15:0.01839637)1.000000:0.03300234,((Sp17:0.08773118,(Sp18:0.18647811,(Sp21:0.08025106,(Sp20:0.05949464,Sp19:0.07499242)0.858392:0.01573248)0.999999:0.05968673)0.999985:0.05255154)0.444493:0.02808362,((Sp1:0.16654293,(Sp0:0.12121102,Sp2:0.19693886)0.712883:0.02572036)0.458958:0.03183806,(Sp11:0.18447391,((Sp9:0.00711448,Sp10:0.01083096)0.999992:0.03947942,(Sp8:0.06045642,(Sp7:0.01776789,(Sp5:0,(Sp6:0.01643512,(Sp3:0.00253889,Sp4:0.00252504)0.999992:0.00624327)0.738556:0.00152633)0.992012:0.00683761)1.000000:0.04236769)1.000000:0.04504765)1.000000:0.10682994)0.997273:0.10489947)1.000000:1.06373869)0.830354:0.05274763)0.994074:0.01900838,(Sp12:0,Sp13:0.00641787)0.687863:0.00361172);","(Sp13:0.00655082,Sp12:1e-08,(Sp14:0.04834785,((Sp15:0.01882165,Sp16:0.03308122)1.000000:0.03703314,(Sp17:0.09038813,((Sp18:0.19449002,(Sp21:0.08505895,(Sp20:0.06170722,Sp19:0.07949398)0.751423:0.01522521)1.000000:0.0741526)0.721280:0.04787551,((Sp1:0.18031376,(Sp0:0.12309925,Sp2:0.21449378)0.687492:0.03096321)0.472410:0.04650182,(Sp11:0.20587001,((Sp9:0.00733758,Sp10:0.01048322)0.999907:0.03948111,(Sp8:0.06259757,(Sp7:0.01807405,(Sp5:0,(Sp6:0.01669804,(Sp3:0.00243639,Sp4:0.00254248)0.999973:0.00654082)0.550998:0.00138755)0.980205:0.00675712)1.000000:0.04440877)1.000000:0.04719647)1.000000:0.10830062)0.970886:0.11531156)1.000000:1.24682471)0.344262:0.00722593)1.000000:0.09150784)0.975528:0.01837762)0.619204:0.00265206);","(Sp7:1e-08,Sp6:0.00958649,(Sp8:0.06209346,((Sp10:1e-08,Sp9:0.02003145)0.553868:0.01614331,(Sp11:0.14287697,((Sp0:0.1069314,(Sp1:0.19740675,Sp2:0.11368235)0.823189:0.05149735)0.000000:1e-08,((Sp20:0.02086502,Sp19:0.07709109)0.000000:1e-08,(Sp21:0.03714797,(Sp13:1e-08,(Sp14:0.01034386,(Sp15:0.01064411,(Sp16:0.01060973,(Sp18:0.09514137,Sp17:0.05708185)0.651088:0.0183763)0.734994:0.01012137)0.837922:0.01031368)0.492130:0.01036224)0.999985:0.06666152)0.429659:0.01639136)1.000000:0.42227818)0.995139:0.07942601)0.999915:0.10667387)0.999790:0.05792256)0.469600:0.01074446);","(Sp5:0,(Sp7:0.01635576,Sp6:0.0123162)0.667040:0.0038748,(Sp8:0.07062392,((Sp9:0.00961665,Sp10:0.01467956)0.923086:0.03813861,(Sp11:0.18415399,((Sp2:0.22384,Sp0:0.12899531)0.900790:0.05402221,(Sp1:0.1392596,(Sp17:0.09946317,(((Sp21:0.05784485,Sp19:0.09140864)0.346157:0.00569081,(Sp18:0.28853016,Sp20:0.03187935)0.555170:0.01425577)1.000000:0.1249331,((Sp16:1e-08,Sp15:0.0122598)0.924556:0.02516613,(Sp14:0.02502615,(Sp13:0.00399507,Sp12:0)0.000000:0)0.987133:0.02850867)0.999499:0.0782205)0.000000:2e-08)1.000000:2.35273632)0.342276:0.03359319)0.998552:0.1238881)0.999551:0.12466676)0.999637:0.05965348)0.999583:0.05429801);"
